"","name","price","latitude","longitude"
"458","Steel & Rye",3,42.2698212,-71.0725174
"459","Ten Tables",3,42.314933658972,-71.114245396185
"460","Mike & Patty's",1,42.348561,-71.067928
"461","Barcelona Brookline",3,42.3387152,-71.1389332
"462","The Haven",2,42.32168,-71.11038
"463","Toscanini's Ice Cream",2,42.366042,-71.078206
"464","Eastern Standard Kitchen & Drinks",3,42.348740324378,-71.0960168391466
"465","Gaslight",2,42.3409677894859,-71.0673901926598
"466","Cafe Polonia",2,42.32878,-71.05712
"467","Blunch",1,42.3354929990873,-71.0747301578522
"468","Tres Gatos",2,42.31907,-71.11164
"469","Luke's Lobster Back Bay",2,42.3485592,-71.0792457
"470","Doyles Cafe",2,42.3064270019531,-71.1072463989258
"471","Flour Bakery + Café",2,42.35137,-71.04881
"472","El Pelón Taquería",1,42.3432217195996,-71.0989652411179
"473","Row 34",3,42.3495808510305,-71.0475044128162
"474","Life Alive",2,42.366593014329,-71.105495948582
"475","The Salty Pig",2,42.346881,-71.076121
"476","Lolita Cocina & Tequila Bar Back Bay",2,42.3505860446405,-71.077508474716
"477","Flour Bakery & Cafe",2,42.338443,-71.074548
"478","Picco",2,42.3448751089207,-71.0705310984679
"479","Oleana Restaurant",3,42.37055,-71.09713
"480","Barcelona Wine Bar South End",2,42.3449355147724,-71.0705436362457
"481","Modern Pastry Shop",1,42.36324,-71.05474
"482","Sam LaGrassa's",2,42.35689,-71.05994
"483","The Capital Grille",4,42.3478110031284,-71.0851110928626
"484","FoMu",2,42.314252,-71.1141346
"485","Craigie On Main",4,42.3634817952265,-71.0986128859795
"486","Regina Pizza",2,42.3654185550275,-71.0568833173494
"487","The Beehive",2,42.3446991683707,-71.0713935252701
"488","O Ya",4,42.3514083135866,-71.056866645813
"489","Coco Leaf",1,42.30007,-71.05991
"490","Ula Café",1,42.314698524785,-71.104042767564
"491","Delfino Restaurant",2,42.28696,-71.12953
"492","Drink",3,42.35067,-71.04846
"493","Haley House Bakery Café",1,42.33204,-71.08253
"494","Mistral",4,42.3481578332115,-71.072759141675
"495","Shabu Restaurant",2,42.27407,-71.025864
"496","James Hook & Co",2,42.3549617,-71.0509737
